id,name,album_id,album_name,album_release_date,duration_ms,popularity,explicit,preview_url,isrc,image_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,features_fetched_at,created_at,updated_at,deezer_track_id,apple_track_id,mb_recording_mbid,gain,genre_primary,genre_tags,derived_valence,derived_energy,last_enriched_at,meta_provider,bpm,artist_name,album_image_url
4TvxDMTOkbK2yt7IfHWqZQ,The Format,,The Format (Special Edition),,183440,,true,,USFZH0701074,https://i.scdn.co/image/ab67616d0000b2734debc8ac47ca47f4659a9bf7,,,,,,,,,,,0.000,,,2025-09-09 22:27:16.718+00,2025-09-09 22:27:16.718+00,696376612,,,-8.4,Rap/Hip Hop,"[""hip-hop"",""turntablism"",""producer"",""rap"",""instrumental hip-hop"",""new york"",""underground hip-hop"",""gang starr"",""Rap/Hip Hop""]",0.6,0.6,2025-09-09 22:27:33.128+00,"{""spotify_track"": true}",0,"AZ, DJ Premier",https://i.scdn.co/image/ab67616d0000b2734debc8ac47ca47f4659a9bf7
4VGvosVIeFMCUwHibq7a9Z,Encore,,The Getaway,,254866,,false,,USWB11600626,https://i.scdn.co/image/ab67616d0000b27358406b3f1ac3ceaff7a64fef,,,,,,,,,,,104.930,,,2025-09-08 20:44:04.208472+00,2025-09-08 20:44:04.208472+00,126534891,,,-8.7,Alternative,"[""rock"",""alternative rock"",""funk rock"",""alternative"",""funk"",""american"",""red hot chili peppers"",""california"",""Alternative""]",,0.7,2025-09-08 23:30:23.105+00,"{""spotify_track"": true}",104.93,Red Hot Chili Peppers,https://i.scdn.co/image/ab67616d0000b27358406b3f1ac3ceaff7a64fef
4vqZk6EL4i4lSYHMViNnuV,Space Pump (Space Jam),,Space Pump (Space Jam),,165000,,false,,USNRS2544199,https://i.scdn.co/image/ab67616d0000b273eb41ad771889d1e88e310bb7,,,,,,,,,,,0.000,,,2025-09-12 19:58:23.253752+00,2025-09-12 19:58:23.253752+00,3504338471,,,-8.3,Dance,"[""depressive black metal"",""black metal"",""experimental"",""folk"",""ambient"",""electroclash"",""mexican black metal"",""wave"",""Dance""]",0.55,0.35,2025-09-12 20:19:53.325+00,"{""spotify_track"": true}",0,Vinter,https://i.scdn.co/image/ab67616d0000b273eb41ad771889d1e88e310bb7
50w9fkTwVvYWYxL0tMSwQ5,You're Not a Popstar,,Stay With Me,,224958,,false,,USZXT2557036,https://i.scdn.co/image/ab67616d0000b273292287294659bd9b105fc4ef,,,,,,,,,,,0.000,,,2025-09-08 20:44:04.208472+00,2025-09-08 20:44:04.208472+00,3367937581,,,-8.5,Electro,"[""techno"",""electro"",""rave"",""electronic"",""trance"",""breaks"",""breakbeat"",""acid"",""Electro""]",0.5,0.817,2025-09-08 23:30:22.006+00,"{""spotify_track"": true}",0,X CLUB.,https://i.scdn.co/image/ab67616d0000b273292287294659bd9b105fc4ef
54PGeitLMNZPRjA0Bhf6im,Luv 4 Real,,Luv 4 Real,,134929,,false,,QMBZ92256727,https://i.scdn.co/image/ab67616d0000b2731eedd45da77109a8e164af71,,,,,,,,,,,0.000,,,2025-09-07 19:39:26.233668+00,2025-09-07 19:39:26.233668+00,1872371627,,,-8.8,Electro,"[""electronic"",""dance"",""lo-fi"",""chillhop"",""instrumental hip-hop"",""united kingdom"",""Electro"",""Techno/House""]",,0.475,2025-09-07 19:41:47.034+00,"{""spotify_track"": true}",0,"Fabich, Kasper G",https://i.scdn.co/image/ab67616d0000b2731eedd45da77109a8e164af71
5H034dqId4Iiv1lAKEyK9J,HIGH!,,HIGH!,,179964,,false,,GXH2J2598371,https://i.scdn.co/image/ab67616d0000b273b9b7238b2af006556d5a38b0,,,,,,,,,,,0.000,,,2025-09-09 22:27:16.718+00,2025-09-09 22:27:16.718+00,3456925041,,,-7.9,Pop,"[""Pop""]",,,2025-09-09 22:27:32.789+00,"{""spotify_track"": true}",0,Oh! Alfie,https://i.scdn.co/image/ab67616d0000b273b9b7238b2af006556d5a38b0
5H4mXWKcicuLKDn4Jy0sK7,Time Flies,,Dark Lane Demo Tapes,,192931,,true,,USUG12001728,https://i.scdn.co/image/ab67616d0000b273bba7cfaf7c59ff0898acba1f,,,,,,,,,,,0.000,,,2025-09-07 19:39:26.233668+00,2025-09-07 19:39:26.233668+00,947861122,,,-8.5,Rap/Hip Hop,"[""drake"",""rnb"",""dance pop"",""pop rap"",""alternative rnb"",""2020"",""trapsoul"",""Rap/Hip Hop""]",,,2025-09-07 19:41:59.889+00,"{""spotify_track"": true}",0,Drake,https://i.scdn.co/image/ab67616d0000b273bba7cfaf7c59ff0898acba1f
5Ip8oS983hgW1y7XXWZiox,Dead Poets,,Adult Fiction 03,,304110,,false,,GBLV61929635,https://i.scdn.co/image/ab67616d0000b27359282a1283d5b0b4372ffff1,,,,,,,,,,,0.000,,,2025-09-07 19:39:26.233668+00,2025-09-07 19:39:26.233668+00,879750382,,,-10.7,Dance,"[""Dance""]",,,2025-09-07 19:41:51.61+00,"{""spotify_track"": true}",0,Adult Fiction,https://i.scdn.co/image/ab67616d0000b27359282a1283d5b0b4372ffff1
5kTgxj2ozNLoHtTL78fnMb,Seoul Station,,I AM DATSKO,,222280,,false,,QZDA82576992,https://i.scdn.co/image/ab67616d0000b273141f607bd3d2f635925f738c,,,,,,,,,,,0.000,,,2025-09-07 19:39:26.233668+00,2025-09-07 19:39:26.233668+00,3215063651,,,-9.8,Electro,"[""house"",""deep house"",""lofi house"",""lo-fi house"",""Electro"",""Dance""]",,0.7,2025-09-07 19:41:58.582+00,"{""spotify_track"": true}",0,DATSKO,https://i.scdn.co/image/ab67616d0000b273141f607bd3d2f635925f738c
5ljDscBqnogTByDUmVwJyR,what if,,what if,,106666,,false,,QZZ792528018,https://i.scdn.co/image/ab67616d0000b273f077666540d9f5d7538621ba,,,,,,,,,,,0.000,,,2025-09-07 19:39:26.233668+00,2025-09-07 19:39:26.233668+00,3519848631,,,-8.3,Electro,"[""Electro"",""Dance""]",,,2025-09-07 19:41:52.614+00,"{""spotify_track"": true}",0,notdavid,https://i.scdn.co/image/ab67616d0000b273f077666540d9f5d7538621ba
